vehicle_id,driver_id,manufacturer,model,vehicle_type,battery_capacity_kwh,battery_percentage,motor_power_kw,motor_power_bhp,total_torque_nm,drive_type,claimed_range_km,estimated_range_km,trip_id,driver_name,driver_experience_years,mail,password,registration_number,vehicle_weight_gvwr_kg,trip_date,road_type,trip_duration_minutes,trip_distance_km,trip_status,speed_kmph,avg_speed_kmph,max_speed_kmph,odometer_km,vehicle_motion_status,battery_temperature_c,motor_temperature_c,energy_consumption_kwh,energy_consumption_rate_kwh_100km,charging_status,energy_added_kwh,charging_cost_inr,driving_behavior,driver_rating,driver_score,overspeed_count,harsh_braking_count,rapid_acceleration_count,base_fare_inr,distance_fare_inr,time_fare_inr,surge_amount_inr,tax_inr,discount_inr,gross_revenue_inr,commission_inr,net_revenue_inr,energy_cost_per_trip_inr,driver_salary_per_trip_inr,maintenance_cost_per_trip_inr,vehicle_total_operating_cost_inr,trip_profit_inr,profit_margin_percent,vehicle_in_garage,maintenance_type,maintenance_status,maintenance_date,last_maintenance_date,next_maintenance_date,acceleration_0_100_s,top_speed_kmh,car_length_mm,car_width_mm,car_height_mm,wheelbase_mm,cargo_volume_l,kerb_weight_kg,max_payload_kg
EV001,D001,Tata,Tiago EV,Hatchback,24.0,66.12,55,75.0,114,FWD,285.0,126.44,TRIP00000001,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,City,20,10.0,Completed,35.5,29.4,45.0,5450.92,Running,30.2,45.9,1.26,12.55,Not Charging,0.0,0.0,Normal,4.32,91.07,0,1,4,50.0,120.0,40.0,36.62,11.63,20.0,238.25,35.74,202.51,9.45,108.45,42.57,160.47,42.04,17.65,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,53.87,55,75.0,114,FWD,285.0,75.96,TRIP00000002,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,Highway,45,58.03,Completed,78.5,77.8,88.8,5508.95,Running,37.5,70.0,9.88,17.02,Not Charging,0.0,0.0,Safe,4.73,94.41,1,1,1,50.0,696.36,90.0,13.51,46.69,0.0,896.56,134.48,762.08,74.1,156.55,37.64,268.29,493.79,55.08,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,67.22,55,75.0,114,FWD,285.0,78.62,TRIP00000003,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,Highway,6,11.03,Completed,112.2,107.8,120.0,5519.98,Running,37.5,69.1,2.26,20.52,Not Charging,0.0,0.0,Safe,3.91,81.55,1,0,1,50.0,132.36,12.0,38.71,12.45,20.0,225.52,33.83,191.69,16.95,109.1,44.74,170.79,20.9,9.27,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,53.1,55,75.0,114,FWD,285.0,107.64,TRIP00000004,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,City,56,41.24,Completed,19.0,43.8,58.8,5561.22,Running,28.7,35.5,4.88,11.84,Not Charging,0.0,0.0,Normal,4.35,85.52,0,1,7,50.0,494.88,112.0,36.48,34.67,50.0,678.03,101.7,576.33,36.6,136.4,34.74,207.74,368.59,54.36,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,53.79,55,75.0,114,FWD,285.0,93.14,TRIP00000005,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,City,50,31.95,Completed,24.2,38.3,50.9,5593.17,Running,26.5,44.4,4.43,13.86,Not Charging,0.0,0.0,Normal,4.57,91.47,0,1,2,50.0,383.4,100.0,6.0,27.07,20.0,546.47,81.97,464.5,33.22,133.15,35.98,202.35,262.15,47.97,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,52.67,55,75.0,114,FWD,285.0,116.18,TRIP00000006,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,City,41,24.04,Completed,39.3,35.0,54.1,5617.21,Running,32.1,48.9,2.62,10.88,Not Charging,0.0,0.0,Normal,4.71,99.59,0,3,1,50.0,288.48,82.0,38.27,21.84,0.0,480.59,72.09,408.5,19.65,119.5,38.43,177.58,230.92,48.05,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,53.92,55,75.0,114,FWD,285.0,104.78,TRIP00000007,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,City,83,33.05,Completed,24.9,23.9,41.0,5650.26,Running,27.7,43.6,4.08,12.35,Not Charging,0.0,0.0,Safe,4.71,91.27,0,5,6,50.0,396.6,166.0,22.06,28.23,20.0,642.89,96.43,546.46,30.6,131.2,26.52,188.32,358.14,55.71,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,66.59,55,75.0,114,FWD,285.0,86.43,TRIP00000008,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,Highway,14,25.74,Completed,115.5,109.1,120.0,5676.01,Running,42.3,54.4,4.76,18.49,Not Charging,0.0,0.0,Safe,3.94,76.37,3,0,0,50.0,308.88,28.0,33.35,24.71,20.0,424.94,63.74,361.2,35.7,133.15,26.16,195.01,166.19,39.11,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,58.55,55,75.0,114,FWD,285.0,65.42,TRIP00000009,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,Highway,58,82.62,Completed,97.4,85.1,99.6,5758.63,Running,38.4,67.0,17.75,21.48,Not Charging,0.0,0.0,Normal,4.92,99.34,3,2,0,50.0,991.44,116.0,22.45,67.49,20.0,1227.38,184.11,1043.27,133.12,192.95,17.58,343.65,699.62,57.0,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,56.38,55,75.0,114,FWD,285.0,68.13,TRIP00000010,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,Highway,9,15.54,Completed,103.5,106.9,120.0,5774.16,Running,37.5,55.8,3.09,19.86,Not Charging,0.0,0.0,Moderate,4.42,90.27,2,0,1,50.0,186.48,18.0,0.09,14.53,0.0,269.1,40.36,228.74,23.17,117.55,41.4,182.12,46.62,17.32,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
